id,name,algo,algo_id
10504,덧셈,수학,124
8716,Pole,수학,124
14578,영훈이의 색칠공부,수학,124
18122,색깔 하노이 탑,수학,124
2599,짝 정하기,수학,124
2757,엑셀,수학,124
6504,킬로미터를 마일로,수학,124
3895,그리고 하나가 남았다,수학,124
5874,소를 찾아라,수학,124
16680,안수빈수,수학,124
18330,Petrol,수학,124
12911,좋아하는 배열,수학,124
15858,Simple Arithmetic,수학,124
17530,Buffoon,수학,124
3507,Automated Telephone Exchange,수학,124
8464,Non-Squarefree Numbers,수학,124
12858,Range GCD,수학,124
14622,소수 게임,수학,124
18323,Photoshoot,수학,124
17358,복불복으로 지구 멸망,수학,124
20531,인간관계,수학,124
6571,피보나치 수의 개수,수학,124
16487,말 타기,수학,124
1492,합,수학,124
6463,팩트,수학,124
15712,등비수열,수학,124
2541,점,수학,124
2737,연속 합,수학,124
4233,가짜소수,수학,124
9488,The n Days of Christmas,수학,124
7869,두 원,수학,124
5074,When Do We Finish?,수학,124
5679,Hailstone Sequences,수학,124
3946,랜덤 걷기,수학,124
20154,이 구역의 승자는 누구야?!,수학,124
11690,"LCM(1, 2, ..., n)",수학,124
15560,구간 합 최대? 1,수학,124
17374,비트베리,수학,124
3063,게시판,수학,124
5710,전기 요금,수학,124
9006,다리,수학,124
10182,AcidBase,수학,124
15717,떡파이어,수학,124
20152,Game Addiction,수학,124
10885,수열의 장인,수학,124
15812,침략자 진아,수학,124
17134,르모앙의 추측,수학,124
17395,이진수 변환,수학,124
19544,함수 복원,수학,124
5000,빵 정렬,수학,124
6318,Box of Bricks,수학,124
12783,곱셈 게임,수학,124
2408,큰 수 계산,수학,124
14471,포인트 카드,수학,124
14542,Outer Triangle Sum,수학,124
17207,돌려막기,수학,124
18187,평면 분할,수학,124
3412,Darts,수학,124
10859,뒤집어진 소수,수학,124
12727,Numbers (Small),수학,124
15322,Košnja,수학,124
19563,개구리 1,수학,124
20206,푸앙이가 길을 건너간 이유,수학,124
1393,음하철도 구구팔,수학,124
4342,유클리드 게임,수학,124
15760,Out of Sorts,수학,124
1179,마지막 요세푸스 문제,수학,124
2373,Fibonacci Game,수학,124
20233,Bicycle,수학,124
13270,피보나치 치킨,수학,124
11896,다각형,수학,124
13912,외계 생물,수학,124
17104,골드바흐 파티션 2,수학,124
20003,거스름돈이 싫어요,수학,124
16467,병아리의 변신은 무죄,수학,124
18398,HOMWRK,수학,124
20041,Escaping,수학,124
2814,최소인수,수학,124
15896,&+ +&,수학,124
20650,Do You Know Your ABCs?,수학,124
1821,수들의 합,수학,124
6160,Election Time,수학,124
9937,직선으로 만드는 삼각형,수학,124
17205,진우의 비밀번호,수학,124
18234,당근 훔쳐 먹기,수학,124
18821,홀수와 짝수의 대결,수학,124
2575,수열,수학,124
11191,Xor Maximization,수학,124
16440,제이크와 케이크,수학,124
1323,숫자 연결하기,수학,124
2247,실질적 약수,수학,124
13326,Diameter,수학,124
1497,기타콘서트,수학,124
4884,FIFA 월드컵,수학,124
14860,GCD 곱,수학,124
9213,꽤 좋은 수,수학,124
14445,케이크(?) 자르기,수학,124
4030,포켓볼,수학,124
5485,평균값 수열,수학,124
13926,"gcd(n, k) = 1",수학,124
19699,소-난다!,수학,124
6491,Perfection,수학,124
